audio_path,transcript,language,duration_ms,word_count,Part
TheDirection_1_1_0_14898.wav,حيا الله أبو بطي.,Arabic,14898,4,Mixat-Part1
TheDirection_1_2_14898_16014.wav,الله يحييك.,Arabic,1116,2,Mixat-Part1
TheDirection_1_3_16014_16964.wav,منورنا اليوم.,Arabic,950,2,Mixat-Part1
TheDirection_1_4_16964_18111.wav,النور نورك يالغا.,Arabic,1147,3,Mixat-Part1
TheDirection_1_6_18127_20680.wav,الله يطول عمرك، يحفظك، مشكور على الييه.,Arabic,2553,7,Mixat-Part1
TheDirection_1_8_20715_21978.wav,بالعكس تشرفت.,Arabic,1263,2,Mixat-Part1
TheDirection_1_9_21978_24706.wav,خبرنا منو هو محمد المطوع؟,Arabic,2728,5,Mixat-Part1
TheDirection_1_10_24706_40472.wav,محمد المطوع، مجرد إنسان في حياه مفعمة بال- بال- بالتحديات، مفعمة بالأحداث، مفعمة بال- كل الأمور. ,Arabic,15766,7,Mixat-Part1
TheDirection_1_12_40482_44485.wav,بس ما يبين عليك ما شا الله أبو بطي. ,Arabic,4003,9,Mixat-Part1
TheDirection_1_13_44485_45579.wav,الله يحفظك يا بدر.,Arabic,1094,4,Mixat-Part1
TheDirection_1_14_45579_51537.wav,في عندك جي مثل مثل الطاقه من أول يوم تلاقينا فيها أنا وأنت عند أبو خالد.  ,Arabic,5958,3,Mixat-Part1
TheDirection_1_15_51537_51941.wav,صحيح.,Arabic,404,1,Mixat-Part1
TheDirection_1_16_51941_52771.wav,في الخوانيج هناك. ,Arabic,830,3,Mixat-Part1
TheDirection_1_17_52771_53132.wav,صحيح.,Arabic,361,1,Mixat-Part1
TheDirection_1_18_53132_59407.wav,صح، إن الجو كان غير هناك براد، ومغيرين ها الضو، ومخلصين هالعشا الفنان والحين رطوبه.,Arabic,6275,15,Mixat-Part1
TheDirection_1_20_59407_60386.wav,رطوبه إي والله.,Arabic,979,3,Mixat-Part1
TheDirection_1_21_60386_67271.wav,دقيقتين ما بتصبر، بس ما شا الله علىك عندك [energy] وعندك طاقه، كل اللي حولك ينجذب لهاي الطاقه.,CS,6885,18,Mixat-Part1
TheDirection_1_22_67271_68845.wav,الله يطول عمرك يا أبو عبد العزي.,Arabic,1574,7,Mixat-Part1
TheDirection_1_23_68845_70249.wav,مو مجامله ترى والله.,Arabic,1404,4,Mixat-Part1
